Table 1
Engagement metrics for individual posts. Created date indicates when your post was created. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"
🚀 We’re excited to share the first edition of the Posit AI Newsletter! 

Curated by Posit’s Sara Altman and Simon P. Couch, this biweekly newsletter keeps you up to speed with what’s happening in the AI world, both at Posit and beyond. It’s opinionated, concise, and designed to keep you in the loop without overwhelming you. 

📫 Read the first issue: https://lnkd.in/e_at_g4F",https://www.linkedin.com/feed/update/urn:li:activity:7369365376599605249,Organic,,Isabel Hosley,09/04/2025,,,All followers,13373,,,846,0.0632617995142937,184,0,14,,0.0780677497386932,
"🍴Join Jumping Rivers Ltd for a Lunch & Learn on September 18 at posit::conf(2025)!

What does it really mean for an R package to be “safe”?

Join fellow attendees to explore package risk together—how to assess it, make informed decisions, and balance risk and compliance across both regulated and more flexible environments.

✅ Learn practical approaches for evaluating R packages
✅ Share experiences from your own work
✅ Contribute a package for live assessment during the session

Bring your lunch, your questions, and your curiosity—it’s a chance to learn from one another and build confidence in using R packages in production.

👉 Be part of the conversation at posit::conf(2025): pos.it/conf",https://www.linkedin.com/feed/update/urn:li:activity:7369051566827380736,Organic,,Isabel Hosley,09/03/2025,,,All followers,2303,,,34,0.0147633524611592,22,0,6,,0.0269214063882828,
"Are you a data scientist or developer who relies on VS Code? If you've been looking for a way to streamline your workflow with more native data science features, we have a helpful guide for you.

We have published a new resource detailing how to seamlessly migrate your existing setup from VS Code to Positron, the data science editor built on the same core as VS Code.

• Import your existing settings to keep your familiar editor preferences and keybinds
• Keep your favorite extensions to install many of your preferred extensions from the OpenVSX marketplace
• Learn about Positron’s native support for Python and R, including features like the Console, Data Explorer, and Plots pane, eliminates the need for separate extensions

Explore the full migration guide and see how Positron can enhance your workflow: https://lnkd.in/eQjsRYYx",https://www.linkedin.com/feed/update/urn:li:activity:7368993592247238657,Organic,,Isabel Hosley,09/03/2025,,,All followers,6617,2122,,580,0.0876530185341835,33,0,1,,0.0927912965416908,Video
"🎓 Workshops are closing soon!

Want to sharpen your R or Python skills? Explore LLMs? Build dashboards that actually do something? This is your last chance to lock in a spot for hands-on learning at posit::conf(2025).

These in-person sessions aren’t just practical—they’re transformational.

 ✅ Real-time feedback
 ✅ Expert instructors
 ✅ Community connections you’ll carry with you

 👉 Save your seat before the doors close! posit.co/conference

 #positconf #lastcall #learnbydoing #rstats #python #quarto #opensourcelearning",https://www.linkedin.com/feed/update/urn:li:activity:7368696736917200896,Organic,,Isabel Hosley,09/02/2025,,,All followers,3167,,,77,0.0243132300674915,9,0,0,,0.0271550361067057,
"What makes a career in data science impactful? In our latest episode of The Test Set, Roger Peng shares his perspective on the long-term impact data science can have. From environmental policy change to online course accessibility, we discuss how much time is needed for true impact to occur. For Roger, seeing this impact over decades is what makes the work so rewarding and helps him justify ""why am I doing this?"".

Roger highlights that, unlike a published paper that is a one-time discovery, software requires ongoing maintenance and development. This means that the impact of a project can grow and change over many years. He also believes that kindness and patience toward others can have a lasting impact.

Listen to the full episode at thetestset.co, on Spotify, or Apple Podcasts.

#DataSciencePodcast #DataScience #DataAnalysis #CareerAdvice #Impact
",https://www.linkedin.com/feed/update/urn:li:activity:7368629560814256129,Organic,,Isabel Hosley,09/02/2025,,,All followers,4266,1293,,280,0.0656352564692497,13,0,1,,0.0689170211553574,Video
"Announcing Databot: An AI Assistant for Exploratory Data Analysis

We’re pleased to introduce Databot, our most ambitious application of LLMs to data science yet.

Databot is an AI assistant for exploratory data analysis (EDA) in Python and R, available now as a research preview in Positron. It helps data scientists explore data faster and more thoroughly by writing and running code, interpreting outputs, and suggesting next steps, like pair programming with someone who never gets tired.

Databot is a complement to the data scientist, not a replacement. To use it effectively and safely, you still need the skills and judgement of a data scientist. We share more about this philosophy in a companion post, Databot is not a flotation device.

Learn more:

• Introducing Databot: https://lnkd.in/gDMjd8dK
• Why Databot is not a flotation device: https://lnkd.in/gXRSi-dT

#DataScience #LLM #EDA #Python #RStats #Positron",https://www.linkedin.com/feed/update/urn:li:activity:7367195511478546433,Organic,,Isabella Velásquez,08/29/2025,,,All followers,31797,,,1632,0.0513255968689919,402,13,55,,0.0661068633198738,
"Announcing the Posit Publisher VS Code Extension 🚀

Posit Publisher deploys your R and Python content directly from your Visual Studio Code or Positron environment to Posit Connect.

It allows you to move from developing code to publishing a finished product, whether it's a Shiny app, a Quarto document, a Jupyter Notebook, or an API, for a more efficient, ""code-first"" deployment workflow.

• Publish your content to Posit Connect directly from your editor with a simple, integrated user interface.
• Manage deployment settings (titles, runtime processes, and dependencies) through configuration files saved in a .posit/ directory. This approach enhances reproducibility and collaboration across your team.
• Deploy a wide range of content, including Python APIs, applications, and notebooks, as well as R Shiny apps, R Markdown, and Quarto documents.
• With a shared configuration, your team can easily pick up where others left off, ensuring a consistent and reproducible deployment process for all collaborators.
• The extension supports managing multiple deployments for a single project, making it easy to deploy to staging and production environments with different settings.

Learn more about the Posit Publisher and install the extension:
https://lnkd.in/erFUAY7D",https://www.linkedin.com/feed/update/urn:li:activity:7366893867318652930,Organic,,Isabel Hosley,08/28/2025,,,All followers,14854,5724,,1128,0.0759391412138939,86,8,4,,0.0825366899371147,Video
"Announcing the August 2025 Posit Glimpse Newsletter! Here, we share the latest updates and news from Posit, with a focus on new tools for data scientists working with Python and R.

This month's newsletter features a major announcement: the release of Positron, a new, free IDE tailored for data science. This release also introduces powerful new LLM-powered tools, the Positron Assistant and Databot, which are designed to enhance your data analysis and programming.

The newsletter also highlights significant updates to key tools in the data science ecosystem, including:

• Quarto: Version 1.8 introduces improved accessibility and branding features.
• Shiny for Python: The new release adds a highly anticipated application bookmarking feature, making it easier to save and return to the state of your Shiny apps.

Learn more about these updates and other community news: https://lnkd.in/ghWCExfE",https://www.linkedin.com/feed/update/urn:li:activity:7366851062516891648,Organic,,Isabella Velásquez,08/28/2025,,,All followers,16352,,,567,0.034674659371376,180,1,14,,0.046599805355072,
"Mark your calendars! We're adding an extra day of virtual activities and talks to posit::conf(2025)!

Can't make it to the in-person event? Join us on Tuesday, September 16th for a full day of virtual content. This is your chance to engage with the community and learn from experts, with a special hangout session, hours of talks, Ask Me Anything with Richard Iannone, and TRIVIA!

Also, the official posit::conf(2025) Discord is now open to everyone! Whether you're attending in person, online, or just want to connect, join the server and get ready for the conference.

🔗 Log into the event portal for instructions to join Discord: pos.it/conf-event-portal
🔗 Learn more about Virtual Day: https://lnkd.in/dtDtdkXa

#positconf2025 #datascience #rstats #python #opensource #virtualevent",https://www.linkedin.com/feed/update/urn:li:activity:7366480103666601985,Organic,,Isabella Velásquez,08/27/2025,,,All followers,9302,,,219,0.0235433243215084,76,2,8,,0.0327886492013931,
"Did you know the data science field didn't always have a name?

Roger Peng, professor and co-host of the podcast Not So Standard Deviations, joins us on this episode of The Test Set to talk about how the field of data science ""happened to"" him and his colleagues. He shares his journey from using a very early version of R to co-creating a podcast with over 180 episodes. We also dive into how academia has evolved to recognize the value of developing software, the power of in-person collaboration, and why he believes the language wars are over.

Don't miss ""Impact takes time, and it’s totally worth it"" now at thetestset.co, on Spotify, or Apple Podcasts.",https://www.linkedin.com/feed/update/urn:li:activity:7366186422841593856,Organic,,Isabella Velásquez,08/26/2025,,,All followers,6952,2092,,435,0.0625719204545021,49,0,5,,0.0703394711017609,Video
"Announcing the 2025 Table & Plotnine Contests! 🎉

No doubt you’ve felt the love for visualization we have at Posit. It serves as a fantastic means of communicating information, both quantitative and qualitative. These contests aim to highlight the many great ways people visualize data.

• For the Table Contest, we invite you to submit your best tables using Great Tables (the Python port of gt), gt (the R package for creating beautiful tables), or any other table-making package.
• For the Plotnine Contest, we invite you to submit your glorious visualizations made with Plotnine, a visualization library that brings the Layered Grammar of Graphics to Python.

Open-source data science works better when more people contribute, and we particularly appreciate this community’s openness and generosity in sharing their code and methods. To that end, check out the previous winners to see how they created their beautiful works.

The deadline for both contest submissions is Friday, October 3, 2025. Submit your best tables or plots for a chance to win prizes and be featured among past winners. All skill levels welcome!

Learn more in the blog post: https://lnkd.in/g2GP4AFn",https://www.linkedin.com/feed/update/urn:li:activity:7366107946809819137,Organic,,Isabella Velásquez,08/26/2025,,,All followers,7974,,,295,0.0369952358305454,63,0,5,,0.0455229505896568,
"Did you miss our latest insurance webinar? Don't sweat it! You can now watch on-demand.. https://lnkd.in/eM5ggBSd

Posit Product Marketing was joined by leaders from Plymouth Rock Assurance, Milliman, and The Hartford as they discussed hot data science topics in the insurance realm. Watch now! ",https://www.linkedin.com/feed/update/urn:li:activity:7365794530090000386,Organic,,Isabel Hosley,08/25/2025,,,All followers,2544,,,34,0.0133647797629237,11,0,1,,0.0180817618966103,
"Announcing a new way to streamline data app development in Positron: the App Preview feature!

The App Preview simplifies the workflow for creating interactive data apps. Instead of running a complex command in the terminal and managing separate windows, you can now launch and view your apps with a single click, directly within the Positron IDE.

This feature addresses the common challenge of context-switching during development by providing an integrated, live preview of your application in the Viewer pane. Write your code and see the results instantly, all within one environment.

Learn more about developing data apps in Positron: https://lnkd.in/e5xKWZ78",https://www.linkedin.com/feed/update/urn:li:activity:7365749770545496064,Organic,,Isabel Hosley,08/25/2025,,,All followers,16076,6196,,1305,0.0811769068241119,172,4,10,,0.0927469506859779,Video
"We’re excited to announce the 2025.07.0 update to the Posit Professional Drivers, a set of ODBC data connectors for some of the most popular databases.

Posit Professional Drivers are free to use with other professional products, such as Posit Workbench, Posit Connect, and Posit Package Manager.

Some features included with this release include:

• Athena – Updated Driver and DriverIam support (10.3)
• Cassandra – Upgraded Windows Server 2025 support
• Redshift – Group Federation Support in JwtIamAuthPlugin
• Snowflake – Added support for private key base64, now supports Windows Server 2025 & Ubuntu 24.04

Read more on the blog: https://lnkd.in/gF4-Dz29",https://www.linkedin.com/feed/update/urn:li:activity:7364664313770381312,Organic,,Isabella Velásquez,08/22/2025,,,All followers,7010,,,160,0.0228245370090008,47,0,3,,0.029957203194499,
"🎯 Whatever field you're in—we’ve got a seat with your name on it.

posit::conf(2025) is serving up tailored content for pros from Pharma, Finance, Public Sector, Education, Healthcare, and more. 🔬📊🩺📚

 Live in Atlanta or livestreaming from home—you’re invited.
👀 Find your track → links in the comments

 📅 Dive into the full experience Sept 17–18—online or in-person.
Register at: posit.co/conf

#positconf2025 #OpenSourceForAll #RStats #Quarto #DataForGood",https://www.linkedin.com/feed/update/urn:li:activity:7364378860202680320,Organic,,Isabella Velásquez,08/21/2025,,,All followers,3527,,,76,0.0215480569750071,29,1,3,,0.0309044513851404,
"🚀 Appsilon Lunch & Learn | Sept 17 at posit::conf(2025)

Clinical development is evolving—and the tools supporting it need to keep up. 

At this session, Appsilon will open up a conversation on how cloud-native Statistical Computing Environments can make regulated work faster, safer, and more collaborative.

Together, we’ll look at practical approaches for:

• Meeting GxP requirements with reproducibility and audit readiness
• Bridging R, Python, and SAS in a single environment
• Applying AI to reduce risk and accelerate timelines

If you’re working at the intersection of data science, IT, and clinical research, this is your chance to explore what’s possible and share your perspective..

👉 Don’t miss it—join the discussion at posit::conf(2025): https://pos.it/conf",https://www.linkedin.com/feed/update/urn:li:activity:7364016645431836677,Organic,,Isabella Velásquez,08/20/2025,,,All followers,4304,,,72,0.0167286247014999,31,0,7,,0.0255576204508543,
"The Positron IDE Layout: Your Workspace, Reimagined

We are pleased to showcase the Layout feature in Positron, designed to provide a flexible and highly customizable environment for data scientists. 

Write your code in the Editor, see the interactive, integrated Console as well as the Terminal below, and switch between the Session pane (where you can explore the variables you have defined and the plots you have created), the Connections pane, the Help pane, and the Viewer pane.

Positron ensures your most critical tools are always at your fingertips. Learn more about Positron's interface: https://lnkd.in/em3SvdHd",https://www.linkedin.com/feed/update/urn:li:activity:7363951946904281094,Organic,,Isabel Hosley,08/20/2025,,,All followers,18598,7652,,1710,0.0919453725218773,186,10,14,,0.10323690623045,Video
"Feeling like your data insights are falling flat? Learn how to make an impact with your work during these workshops at posit::conf(2025).

Data Talks: How to make your data science accessible with Acacia Duncan and Blythe Coons: Data insights dead on delivery? Learn to communicate your work with clarity and confidence. This no-code, highly interactive workshop will help you frame your message, connect with non-technical audiences, and drive action through storytelling.

Mastering Data Visualization with ggplot2 with Thomas Lin Pedersen and Teun van den Brand: Latest Techniques and Best Practices: Elevate your data storytelling with this comprehensive ggplot2 workshop that covers cutting-edge features, advanced customization techniques, text rendering secrets, and complex plot compositions to help both users and package developers create more compelling and sophisticated visualizations.

🎟️ Join us in Atlanta this September to learn from the best and connect with the data science community!
 📅 Sept 16–18

Register for workshops + the full posit::conf(2025) experience: https://lnkd.in/e7a659Ui

#PositConf2025 #RStats #DataScience #DataVisualization #ggplot2",https://www.linkedin.com/feed/update/urn:li:activity:7363662379169075200,Organic,,Isabella Velásquez,08/19/2025,,,All followers,3695,,,167,0.0451962128281593,35,3,8,,0.0576454661786556,
"How does a career in actuarial science lead to becoming a professor and developer educator? Find out in the latest episode of The Test Set! 

We're thrilled to welcome Mine Çetinkaya-Rundel, Professor of the Practice of Statistical Science at Duke University and Professional Educator at Posit. She shares her journey from getting a business degree to realizing her enjoyment of working with data as an actuary. Hear how her passion for teaching, an undergraduate tutoring side gig, and a dislike for manual data entry and report generation led her to a fulfilling career in data science education. The episode offers a unique perspective on the motivations and ""aha"" moments that can shape a career path.

Listen to ""Teaching in the AI era — and keeping students engaged"" now at thetestset.co, on Spotify, or Apple Podcasts.",https://www.linkedin.com/feed/update/urn:li:activity:7363558226098884609,Organic,,Isabella Velásquez,08/19/2025,,,All followers,4848,1745,,358,0.073844887316227,33,0,2,,0.0810643583536148,Video
"Announcing new Quarto resources for Positron users!

The Quarto website now has extensive resources for those interested in using Positron to create beautiful reports, dashboards, presentations, and more. It provides detailed information on how to get started and how to optimize your experience of Quarto in Positron. 

Check out the updated documentation here: https://lnkd.in/ec9BUiw2 ",https://www.linkedin.com/feed/update/urn:li:activity:7363235374241882112,Organic,,Isabel Hosley,08/18/2025,,,All followers,6042,2276,,537,0.0888778567314148,102,2,5,,0.10691823810339,Video
"posit::conf isn’t just another tech event. It's where ideas connect, skills grow, and new opportunities take shape. 

But don’t just take it from us.

We asked past attendees to share what posit::conf meant to them. Here’s what they said:

✨ “posit::conf changed my life. I went for the workshops—came home with a new career direction.”
✨ “I met collaborators who became friends, mentors, and colleagues. I left inspired to build more, share more, and try new things.”
✨ “Hands-on workshops sparked ideas that transformed how I work. I left ready to lead.""

When you bring together curious minds, cutting-edge tools, and an inclusive, idea-sharing community—amazing things happen. 

You don’t just grow your skills. You grow your network, your confidence, your next chapter.
 
Where will posit::conf(2025) take you?

📅 September 16–18 | Atlanta, GA
👥 Bring your team. Find your people.
👉 posit.co/conference
✨ Your story could be next.",https://www.linkedin.com/feed/update/urn:li:activity:7361760304478736387,Organic,,Isabella Velásquez,08/14/2025,,,All followers,3624,,,608,0.16777041554451,43,1,3,,0.180739507079124,
"Announcing Positron's dedicated console for interactive coding!

Positron’s dedicated console provides a persistent environment for your interactive coding needs.You can execute single lines or blocks of R or Python code, transition between R or Python environments directly within the same console, work in different versions of R or Python, and quickly scan and interpret code outputs.

Go for it. Run that single line. You deserve it. 😉

Learn more about Positron’s dedicated console: https://lnkd.in/em3SvdHd",https://www.linkedin.com/feed/update/urn:li:activity:7361464084292091904,Organic,,Isabel Hosley,08/13/2025,,,All followers,15541,5740,,1348,0.0867383033037186,132,3,5,,0.0957467332482338,Video
"Can LLMs really grade student work?

On this episode of The Test Set, we're joined by Mine Çetinkaya-Rundel! As a professor at Duke University and a professional educator at Posit, Mine shares her unique journey from actuarial science to data science, the evolution of R and Python communities, and her fascinating work using LLMs to provide immediate feedback on student assignments. This episode is a must-listen for anyone interested in the intersection of education, data science, and technology.

Listen to ""From actuarial science to data science with Mine Çetinkaya-Rundel"" now at thetestset.co, on Spotify, or Apple Podcasts.

Link to the episode: https://lnkd.in/g85tz69K",https://www.linkedin.com/feed/update/urn:li:activity:7361328196195160064,Organic,,Isabella Velásquez,08/12/2025,,,All followers,8198,2885,,623,0.0759941413998604,42,4,5,,0.0822151750326157,Video
"Become a more efficient and powerful Python programmer in our hands-on workshops at posit::conf(2025)!

🐻",https://www.linkedin.com/feed/update/urn:li:activity:7361058886763626497,Organic,,Isabella Velásquez,08/12/2025,,,All followers,3800,,,179,0.0471052639186382,46,0,7,,0.0610526315867901,
"We’re just weeks away from our favorite event of the year—three days of hands-on workshops, insightful talks, and meaningful connections with the open-source data science community.

This year’s keynote lineup brings together a phenomenal group of leaders, builders, researchers, and educators from across R, Python, and beyond:

• Jonathan McPherson – Software Architect at Posit, longtime contributor to RStudio, and builder of the tools that connect your data workflows
• Hadley Wickham – Chief Scientist at Posit and creator of the tidyverse
• Joe Cheng – Posit CTO and creator of Shiny
• Cat Hicks, PhD – Psychologist, researcher, and founder of Catharsis Consulting
• Kieran Healy – Duke University sociologist and author of Data Visualization: A Practical Introduction

These keynotes will explore the future of tools, teams, research, and responsible data communication—and are just one reason to join us in Atlanta this September.

📖 Read more about each speaker: https://lnkd.in/g8PrUth3
 🎟️ Register for posit::conf(2025): https://lnkd.in/gpZCa_7C
 📅 September 16–18 | Atlanta

#positconf2025 #rstats #python #opensource #datascience",https://www.linkedin.com/feed/update/urn:li:activity:7360771069277847552,Organic,,Isabella Velásquez,08/11/2025,,,All followers,4399,,,76,0.0172766540199518,57,1,11,,0.0329620353877544,
"Streamline your Streamlit development with Positron, our next-generation data science IDE!

For Python developers, Streamlit is an efficient way to create interactive data apps, but the development process can be fragmented when you’re constantly switching between windows. Positron provides a unified, purpose-built environment for everything you need in one place: code, preview, console, and debugging.

In this blog post and video by Isabella Velásquez, we show you key features for app development in Positron:

• Preview your Streamlit app within the IDE using the integrated Viewer Pane
• See your app update in real-time as you make changes to your code with live previews
• Leverage AI-powered, context-aware suggestions using Positron Assistant
• Manage your Python environments and dependencies using the integrated Terminal
• Use debugging support to resolve issues within your Streamlit apps

Download Positron and try it for your next Streamlit app!

Read the post: https://lnkd.in/eSEtVcRK
Watch the video: https://lnkd.in/eSyC6Tk7 ",https://www.linkedin.com/feed/update/urn:li:activity:7360670184732250113,Organic,,Isabel Hosley,08/11/2025,,,All followers,7616,,,322,0.0422794111073017,82,0,7,,0.053965337574482,
"We just love to see those Shiny ROI stats ✨ See something across your team that could be more efficient?

PropLogix, a real estate company, provides comprehensive reports and title support services to protect property buyers from critical issues before closing. Their customer experience team previously spent 25-30 hours a week manually building quotes for customers, with bulk orders involving hundreds of properties.

Tyler Neumann, a data scientist at PropLogix, transformed this process using Shiny and Posit Team, resulting in an annual saving of 1,300 hours! This interactive application now processes thousands of orders, allowing their customer experience team to focus on strategic initiatives rather than repetitive tasks.

Learn more about their story here: https://lnkd.in/e-TZdBUk",https://www.linkedin.com/feed/update/urn:li:activity:7359578327067566080,Organic,,Isabel Hosley,08/08/2025,,,All followers,1762,,,41,0.0232690125703812,16,0,0,,0.0323496013879776,
"Are you plotting your posit::conf(2025) solo mission… or are you assembling your nerdy dream team?

🤔 Will your team:

• Be the only department not learning how to build branded dashboards with Quarto?
• Miss the inside scoop on ellmer (R) and chatlas (Python)?
• Still naming files final_final_v2_v3.Rmd?
• Say “We’ll catch the recording” and then… not?

Don’t be that team. You know the one—still arguing about where to store environment variables, writing the same script five different ways, or thinking LLMs are a passing trend.

Let’s not.

🎟️ Bring 3+ and score the group discount: Save $150 per person! Email conf@posit.co to get your group code.

Because everything’s better with your crew—especially breakthroughs.

👉 posit.co/conference

#positconf #datamagic #groupdiscounts #datawithfriends #datascience #rstats #python #techteamthings",https://www.linkedin.com/feed/update/urn:li:activity:7359228016662597633,Organic,,Isabella Velásquez,08/07/2025,,,All followers,2192,,,36,0.0164233576506376,16,0,9,,0.0278284680098295,
"Announcing the ""The Shiny Side of LLMs"" series, part 1: What LLMs Actually Do (and What They Don't)!

We're pleased to highlight a new series from Veerle Eeftink - van Leemput, ""The Shiny Side of LLMs,"" designed to explain large language models in a clear and simple way.

This first installment, ""What LLMs Actually Do (and What They Don't),"" is designed for developers, data scientists, and anyone looking to better understand the fundamental mechanics of LLMs without getting lost in technical jargon. It simplifies complex topics by:

• Explaining what a ""Large Language Model"" is by breaking down each term.
• Differentiating between a model's basic text generation and unexpected skills like translation.
• Providing a brief introduction to how RAG can be used to ground LLMs with up-to-date, external data.
• Addressing the common misconception that LLMs possess human-like intelligence or reasoning.

Learn more and read the full post: https://lnkd.in/gRa-gPeA",https://www.linkedin.com/feed/update/urn:li:activity:7358905220074008576,Organic,,Isabella Velásquez,08/06/2025,,,All followers,17024,,,509,0.0298989657312632,202,5,16,,0.0429981201887131,
"Preview, resize, copy, and save your plots directly in your IDE!

In Positron’s plots pane, you can see exactly what your ggplot2, matplotlib, plotnine, seaborn, and other Python and R plotting packages have created. Change the dimensions and size of your plots within Positron to optimize their display, copy plots to your clipboard, save to a folder, and switch between light/dark mode all within Positron.

Never guess what your exported plot will look like ever again 🤩

Learn more about Positron’s layout, designed for data scientists: https://lnkd.in/eYUX8N85",https://www.linkedin.com/feed/update/urn:li:activity:7358840212312977408,Organic,,Isabel Hosley,08/06/2025,,,All followers,22472,10832,,1925,0.0856621563434601,359,16,30,,0.103684581816196,Video
"One of the best things about R is that there’s always so much to learn! Ready to level up your skills? Our hands-on workshops at posit::conf(2025) will help you become a more efficient and powerful programmer.

👷 R in Production with Hadley Wickham: Learn how to level up your skills by mastering coding techniques for reliability, remote execution, and team collaboration in this practical workshop designed for data professionals who want their code to work seamlessly when deployed to production.

⬆️ From R User to R Programmer with Emma Rand and Ian Lyttle: Level up your R efficiency in this hands-on workshop that teaches intermediate tidyverse users how to reduce code duplication through function design and iteration techniques, including data masking, anonymous functions, and powerful tools like purrr.

🦉 Package Development: The Rest of the Owl with Jenny Bryan: Level up your R package development skills in this hands-on workshop that takes you beyond the basics to learn tidyverse-inspired workflows, testing strategies, documentation techniques, and user interface design to transform your code into polished, shareable packages.

🎟️ Join us in Atlanta this September to build your expertise and connect with other superstars of the R world.

Register for workshops + the full posit::conf(2025) experience: https://lnkd.in/e7a659Ui

📅 Sept 16–18 | Atlanta

 #positconf2025 #rstats #machinelearning #tidymodels #causalinference #datascience #workshops",https://www.linkedin.com/feed/update/urn:li:activity:7358586937609252864,Organic,,Isabella Velásquez,08/05/2025,,,All followers,8928,,,1090,0.122087813913822,238,3,13,,0.150537639856339,
"The newest episode of ""The Test Set"" is here! We're excited to share Part 2 of our conversation with Wes McKinney, the author and open-source developer who is now a principal architect at Posit.

In this episode, Wes and Michael Chow dive into:

• The complex landscape of funding open-source projects.
The critical role of The Apache Software Foundation for open-source governance.
• Wes's current work on Positron, a new polyglot data science IDE.
• A look into Wes's diverse work life, which includes a mix of coding, presenting, and ""super angel"" investing in data infrastructure and developer tools.
• Wes's insights provide a unique perspective on the intersection of business, community, and technology in the world of data science.

Listen now on Spotify, Apple Podcasts, or at thetestset.co.

#TheTestSet #WesMcKinney #OpenSource #DataScience #Positron #ApacheArrow #TechPodcast
",https://www.linkedin.com/feed/update/urn:li:activity:7358523629938073601,Organic,,Isabella Velásquez,08/05/2025,,,All followers,3147,1366,,152,0.0482999682426453,30,0,4,,0.0591039098799229,Video
"Have you registered for our fireside chat next week? 

In this fireside chat, you’ll learn about:
• Emerging trends in data science
• The growing risk of fraud/scams in heavily regulated industries
• IT and operational challenges in Insurance
• The role of AI in Insurance organizations

… and so much more! Register here https://lnkd.in/ek_Cgtn2",https://www.linkedin.com/feed/update/urn:li:activity:7358195018555088897,Organic,,Isabel Hosley,08/04/2025,,,All followers,2368,,,55,0.0232263505458832,19,0,3,,0.0325168929994106,
"Learn how to run exploratory data analysis (EDA) in Positron, Posit’s new IDE!

Positron is designed as a polyglot IDE, and in this post + video by Mine Çetinkaya-Rundel, we focus on its capabilities for R users. We highlight key features and workflows that will feel familiar to RStudio users, alongside novel functionalities that enhance your data exploration experience.

• Easily set up your projects with new workspaces, subfolders, and files
• Get insights into your dataset with the Data Explorer
• Maintain consistent and tidy code by formatting with Air on demand or automatically when saving scripts
• Use your favorite plotting tools and then pop out to a dedicated window for detailed inspection

If you haven’t tried Positron yet, here’s a great example to get started in this next-gen IDE!

Read the post: https://lnkd.in/eTEuntcX
Watch the video: https://lnkd.in/eN8WiYPi ",https://www.linkedin.com/feed/update/urn:li:activity:7358134340821680128,Organic,,Isabel Hosley,08/04/2025,,,All followers,15611,6246,,1302,0.0834027305245399,227,6,27,,0.100057654082775,Video
"Learn how the OpenStatsware working group is accelerating the shift to open-source statistical software in the pharmaceutical industry!

In a post on the Posit Blog, co-chairs Alessandro Gasparini, Daniel Sabanés Bové, and Ya Wang reflect on the group's journey, key achievements, and future direction. They discuss how this group of over 60 members has become a major catalyst for the transition to open-source tools within the pharmaceutical industry.

The post highlights the group's focus on fostering collaboration and promoting best practices for statistical software development. A key achievement is the highly successful 'mmrm' R package for mixed models for repeated measures (MMRM), which offers a fast, consistent, and validated alternative to proprietary software. The package has garnered over **100,000** downloads and helped many users make the switch from traditional tools like SAS to R.

Learn more about OpenStatsware’s journey and future vision by reading the full interview: https://lnkd.in/gKPxNi4N

Many thanks to the co-chairs for their valuable contributions and leadership in this space!

#OpenSource #RStats #Statistics #Pharma #DataScience #StatisticalSoftware #MachineLearning #Posit #mmrm",https://www.linkedin.com/feed/update/urn:li:activity:7357059191942901762,Organic,,Isabella Velásquez,08/01/2025,,,All followers,12215,,,400,0.0327466242015362,134,6,15,,0.0454359389841557,
"🌟 We're excited to introduce Error Assist, an experimental AI-powered feature on Posit Connect Cloud designed to simplify and speed up your application deployment troubleshooting!

We know the frustration of a failed deployment, especially after perfecting your Shiny or Streamlit application locally. Error Assist acts as a digital partner to help you navigate these deployment challenges:

• Deployment Fails: If your deployment encounters an issue, the ""Check Errors"" button will appear.
• Log Analysis: Clicking ""Check Errors"" securely sends your relevant application logs to the AI model for analysis.
• Intelligent Guidance: After processing your logs, Error Assist provides refined guidance on potential causes and suggested solutions.

We understand that data privacy and security are paramount. Error Assist on Connect Cloud leverages AWS Bedrock, and your logs and any other inputs are never shared with the model provider. They remain private throughout the entire analysis process.

Give it a try the next time you encounter a deployment issue on Connect Cloud! Learn more: https://lnkd.in/gXghbS5a
",https://www.linkedin.com/feed/update/urn:li:activity:7356791835551281152,Organic,,Marissa Pierce,07/31/2025,,,All followers,3941,,,74,0.018776960670948,28,0,4,,0.0268967263400555,
" 👀 Sneak peek: The Positron Lounge is where the magic happens at posit::conf(2025).

Positron is our next-generation data science IDE. At the Positron Lounge, think hands-on demos, tool deep dives, and spontaneous brainwaves with the people who built it.

Roll up your sleeves, test what’s new, and walk away inspired.

Will you be there?

Learn more: https://lnkd.in/gVPsCxYp

#positconf #Positron #DataNerdsUnite #Rstats #Python #opensource #datascience",https://www.linkedin.com/feed/update/urn:li:activity:7356730913180803075,Organic,,Isabella Velásquez,07/31/2025,,,All followers,6347,,,1932,0.304395765066147,40,0,4,,0.311328172683716,
"Introducing the Data Explorer in Positron!

The Data Explorer provides a spreadsheet-like grid interface for displaying and interacting with your data. It enables users to temporarily filter and sort data, along with providing useful summary statistics, all without leaving Positron.

It can be used to view raw data files (CSV, Parquet, etc.) in your Positron workspace as well as data frames in your active Python or R sessions.

Learn more: https://lnkd.in/evAqAYp5",https://www.linkedin.com/feed/update/urn:li:activity:7356392866199289856,Organic,,Isabel Hosley,07/30/2025,,,All followers,24737,10011,,1780,0.0719569846987724,370,13,32,,0.0887334793806076,Video
